Tm # Normalizado,Pos # Normalizado,Age Normalizado,AAV 5Cat,C# Norm,Grade,SPORQ Normalizado
0.6666666667,0,0.5,3,0.2857142857,0.5607734807,0.3744967509
0.2727272727,0,0.1666666667,2,0,0.8259668508,0.2777725312
0.6363636364,0.07142857143,0.3333333333,2,0.1428571429,0.9143646409,0.7518619083
0,0.6428571429,0.3333333333,4,0.5,0.9198895028,0.6400455486
0.1212121212,0,0.3333333333,2,0.3571428571,0.5220994475,0.5755673639
0.8484848485,0,0.1666666667,0,0,0.6022099448,0.4151306882
0.9393939394,0.07142857143,0.3333333333,0,0.7857142857,0.546961326,0.7307027258
0.9090909091,0.7142857143,0.3333333333,2,0,0.4944751381,0.7592109422
0.5454545455,0.4285714286,0.1666666667,1,0.1428571429,0.5580110497,0.6549147387
0.09090909091,0.1428571429,0.1666666667,2,0.4285714286,0.5110497238,0.7924073972
0.7272727273,0.7857142857,0.8333333333,0,0.07142857143,0.5220994475,0.6114159505
0.8787878788,0.1428571429,0.5,2,0.07142857143,0.6602209945,0.3291596157
0.696969697,0.2857142857,0.3333333333,0,0.07142857143,0.6464088398,0.7706023054
0.0303030303,0.4285714286,0.1666666667,0,0.2142857143,0.5386740331,0.6199376533
0.6666666667,0.8571428571,0.5,0,0.3571428571,0.4917127072,0.5040871188
0.6060606061,0.6428571429,0.5,2,0.7857142857,0.5828729282,0.5464357218
0.6666666667,0.2142857143,0.3333333333,2,0.07142857143,0.4917127072,0.7902004601
0,0.6428571429,0.3333333333,2,0.07142857143,0.4613259669,0.6900475959
0.3333333333,0.8571428571,0,1,0.4285714286,0.5580110497,0.6876252604
0.6363636364,0.1428571429,0.3333333333,1,0.2142857143,0.5138121547,0.6890697465
0.3636363636,0.3571428571,0.3333333333,1,0.1428571429,0.591160221,0.7501360526
0.8181818182,0.7857142857,0.3333333333,0,0.4285714286,0.5276243094,0.9256143132
0.4242424242,0.2142857143,0.1666666667,1,0.07142857143,0.5027624309,0.6411503697
0.5454545455,0.4285714286,0.3333333333,1,0.4285714286,0.5497237569,0.616831549
0.1515151515,0.07142857143,0.3333333333,1,0.07142857143,0.4337016575,0.5540109123
0.8484848485,0.1428571429,0.1666666667,1,0.07142857143,0.5027624309,0.4787178756
0.06060606061,0.7142857143,0.1666666667,1,0.2857142857,0.5138121547,0.6109847068
0.5757575758,0.4285714286,0.3333333333,0,0.1428571429,0.4723756906,0.5191391894
0.4545454545,0.1428571429,0.3333333333,0,0.2857142857,0.4834254144,0.5475753701
0.4848484848,0.5714285714,0.1666666667,2,0,0.5662983425,0.6959252954
0.6060606061,0.2857142857,0.5,2,0.1428571429,0.4447513812,0.5614610238
0.7575757576,0.3571428571,0.1666666667,2,0.5,0.4502762431,0.6953931104
0.6363636364,0.2142857143,0.3333333333,1,0,0.4475138122,0.640589423
0.1515151515,0.2857142857,0.3333333333,1,0.1428571429,0.4779005525,0.3126087149
0.2424242424,0.2857142857,0.1666666667,0,0,0.5165745856,0.6851665516
0.06060606061,0.1428571429,0.3333333333,1,0.3571428571,0.4723756906,0.5413350193
